data_timestep,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,vehicle_angle,vehicle_eclass,vehicle_electricity,vehicle_fuel,vehicle_id,vehicle_lane,vehicle_noise,vehicle_pos,vehicle_route,vehicle_speed,vehicle_type,vehicle_waiting,vehicle_x,vehicle_y,edge_id,edge_traveltime,lane_CO,lane_CO2,lane_HC,lane_NOx,lane_PMx,lane_electricity,lane_fuel,lane_id,lane_maxspeed,lane_meanspeed,lane_noise,lane_occupancy,lane_vehicle_count
8.00,,,,,,,,,,,,,,,,,,,,:gneJ1_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ1_0_0,33.53,33.53,0.00,0.00,0
8.00,,,,,,,,,,,,,,,,,,,,:gneJ2_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ2_0_0,33.53,33.53,0.00,0.00,0
8.00,,,,,,,,,,,,,,,,,,,,e0,187.48,648.61,30713.52,3.69,13.45,0.67,0.00,13.20,e0_0,33.53,8.58,76.64,0.01,4
8.00,,,,,,,,,,,,,,,,,,,,e1,59.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,e1_0,33.53,33.53,0.00,0.00,0
8.00,,,,,,,,,,,,,,,,,,,,e2,29.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,e2_0,33.53,33.53,0.00,0.00,0
9.00,183.76,12276.82,1.14,5.32,0.27,90.00,HBEFA3/PC_G_EU4,0.00,5.28,0,e0_0,73.28,88.11,route01,17.00,Car01,0.00,88.11,-1.60,,,,,,,,,,,,,,,
9.00,206.05,13083.64,1.26,5.73,0.29,90.00,HBEFA3/PC_G_EU4,0.00,5.62,1,e0_0,74.32,59.70,route01,15.60,Car,0.00,59.70,-1.60,,,,,,,,,,,,,,,
9.00,154.57,8260.74,0.90,3.62,0.18,90.00,HBEFA3/PC_G_EU4,0.00,3.55,2,e0_0,71.21,25.90,route01,9.10,Car,0.00,25.90,-1.60,,,,,,,,,,,,,,,
9.00,152.07,4102.54,0.79,1.83,0.09,90.00,HBEFA3/PC_G_EU4,0.00,1.76,3,e0_0,68.38,7.70,route01,2.60,Car,0.00,7.70,-1.60,,,,,,,,,,,,,,,
9.00,,,,,,,,,,,,,,,,,,,,:gneJ1_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ1_0_0,33.53,33.53,0.00,0.00,0
9.00,,,,,,,,,,,,,,,,,,,,:gneJ2_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ2_0_0,33.53,33.53,0.00,0.00,0
9.00,,,,,,,,,,,,,,,,,,,,e0,145.31,696.45,37723.74,4.08,16.50,0.83,0.00,16.22,e0_0,33.53,11.07,78.35,0.01,4
9.00,,,,,,,,,,,,,,,,,,,,e1,59.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,e1_0,33.53,33.53,0.00,0.00,0
