data_timestep,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,vehicle_angle,vehicle_eclass,vehicle_electricity,vehicle_fuel,vehicle_id,vehicle_lane,vehicle_noise,vehicle_pos,vehicle_route,vehicle_speed,vehicle_type,vehicle_waiting,vehicle_x,vehicle_y,edge_id,edge_traveltime,lane_CO,lane_CO2,lane_HC,lane_NOx,lane_PMx,lane_electricity,lane_fuel,lane_id,lane_maxspeed,lane_meanspeed,lane_noise,lane_occupancy,lane_vehicle_count
8.00,,,,,,,,,,,,,,,,,,,,gneE0,878.45,329.73,17125.61,1.91,7.25,0.34,0.00,5462.28,gneE0_0,33.53,9.16,72.07,0.00,3
8.00,,,,,,,,,,,,,,,,,,,,gneE1,479.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE1_0,33.53,33.53,0.00,0.00,0
8.00,,,,,,,,,,,,,,,,,,,,gneE3,239.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE3_0,33.53,33.53,0.00,0.00,0
9.00,102.63,8189.43,0.66,3.41,0.16,90.00,HBEFA3/PC_G_EU4,0.00,2612.02,0,gneE0_0,69.81,89.06,route01,16.20,Car01,0.00,89.06,0.00,,,,,,,,,,,,,,,
9.00,122.32,7403.57,0.73,3.18,0.15,90.00,HBEFA3/PC_G_EU4,0.00,2361.38,1,gneE0_0,69.02,42.34,route01,10.65,Car01,0.00,42.34,0.00,,,,,,,,,,,,,,,
9.00,132.11,5447.60,0.73,2.37,0.11,90.00,HBEFA3/PC_G_EU4,0.00,1737.54,2,gneE0_0,67.75,16.92,route01,5.98,Car01,0.00,16.92,0.00,,,,,,,,,,,,,,,
9.00,164.78,2624.72,0.81,1.20,0.07,90.00,HBEFA3/PC_G_EU4,0.00,837.22,3,gneE0_0,55.94,5.10,route01,0.00,Car01,0.00,5.10,0.00,,,,,,,,,,,,,,,
9.00,,,,,,,,,,,,,,,,,,,,:gneJ1_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ1_0_0,33.53,33.53,0.00,0.00,0
9.00,,,,,,,,,,,,,,,,,,,,:gneJ4_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ4_0_0,33.53,33.53,0.00,0.00,0
9.00,,,,,,,,,,,,,,,,,,,,gneE0,980.28,521.84,23665.32,2.94,10.16,0.49,0.00,7548.17,gneE0_0,33.53,8.21,73.78,0.00,4
9.00,,,,,,,,,,,,,,,,,,,,gneE1,479.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE1_0,33.53,33.53,0.00,0.00,0
9.00,,,,,,,,,,,,,,,,,,,,gneE3,239.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE3_0,33.53,33.53,0.00,0.00,0
10.00,147.79,10663.21,0.93,4.53,0.23,90.00,HBEFA3/PC_G_EU4,0.00,3401.03,0,gneE0_0,71.94,106.94,route01,17.89,Car01,0.00,106.94,0.00,,,,,,,,,,,,,,,
10.00,172.26,10761.51,1.05,4.70,0.23,90.00,HBEFA3/PC_G_EU4,0.00,3432.38,1,gneE0_0,72.62,55.47,route01,13.13,Car01,0.00,55.47,0.00,,,,,,,,,,,,,,,
10.00,127.42,6400.79,0.73,2.77,0.13,90.00,HBEFA3/PC_G_EU4,0.00,2041.55,2,gneE0_0,68.40,24.96,route01,8.04,Car01,0.00,24.96,0.00,,,,,,,,,,,,,,,
10.00,147.39,3229.11,0.75,1.44,0.07,90.00,HBEFA3/PC_G_EU4,0.00,1029.98,3,gneE0_0,64.36,6.86,route01,1.76,Car01,0.00,6.86,0.00,,,,,,,,,,,,,,,
